scope,window.type,window.startYear,window.endYear,window.mode,generatedAt,matchCount,selectedMatchCount,seasonKey,seasonYear,playerKey,displayName,basePlayerKey,basePlayerName,deck,rating,matches,wins,losses,winRate,lastActiveDate,eloGain,eventCount
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,barff,barff,barff,barff,,1684.271,810,516,294,0.637037,2026-05-10,184.271,131
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,gn42,Gn42,gn42,Gn42,,1653.727,350,235,115,0.671429,2026-05-03,153.727,61
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,luminati,Luminati,luminati,Luminati,,1651.106,1643,955,688,0.581254,2026-05-10,151.106,256
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,grajtow,grajtow,grajtow,grajtow,,1649.086,170,111,59,0.652941,2026-05-10,149.086,24
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,jessy_samek,jessy_samek,jessy_samek,jessy_samek,,1648.134,105,59,46,0.561905,2026-04-19,148.134,19
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,ed_elric,Ed_Elric,ed_elric,Ed_Elric,,1645.801,218,138,80,0.633028,2026-02-22,145.801,32
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,walker735,Walker735,walker735,Walker735,,1641.741,816,485,331,0.594363,2026-05-10,141.741,136
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,todeshorst,Todeshorst,todeshorst,Todeshorst,,1639.252,50,35,15,0.7,2025-11-15,139.252,6
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,enz091,Enz091,enz091,Enz091,,1636.451,164,94,70,0.573171,2026-05-10,136.451,26
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,billsive,billsive,billsive,billsive,,1634.827,178,103,75,0.578652,2026-03-29,134.827,30
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,spikeyou,SpikeYou,spikeyou,SpikeYou,,1634.566,184,103,81,0.559783,2026-05-10,134.566,29
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,seasonofmists,seasonofmists,seasonofmists,seasonofmists,,1634.498,905,538,367,0.594475,2026-05-10,134.498,154
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,hype12232,Hype12232,hype12232,Hype12232,,1633.692,87,56,31,0.643678,2025-08-02,133.692,15
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,olavojusmtm,OlavoJusMTM,olavojusmtm,OlavoJusMTM,,1632.33,54,38,16,0.703704,2024-08-16,132.33,8
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,adrowo,Adrowo,adrowo,Adrowo,,1628.951,100,58,42,0.58,2025-11-15,128.951,16
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,sai199orz,sai199orz,sai199orz,sai199orz,,1623.26,283,143,140,0.5053,2025-11-16,123.26,50
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,primoshow1,PrimoShow1,primoshow1,PrimoShow1,,1621.916,147,82,65,0.557823,2026-05-08,121.916,24
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,mehanske,mehanske,mehanske,mehanske,,1621.504,231,134,97,0.580087,2026-05-09,121.504,37
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,edo_01,Edo_01,edo_01,Edo_01,,1620.889,154,84,70,0.545455,2025-12-11,120.889,28
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,_against_,_against_,_against_,_against_,,1619.597,740,405,335,0.547297,2026-05-08,119.597,128
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,flower270,flower270,flower270,flower270,,1619.002,97,63,34,0.649485,2026-05-10,119.002,14
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,purgatory_01,Purgatory_01,purgatory_01,Purgatory_01,,1618.665,789,427,362,0.541191,2026-05-10,118.665,126
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,triso,Triso,triso,Triso,,1618.337,115,72,43,0.626087,2026-05-10,118.337,16
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,drugo,Drugo,drugo,Drugo,,1617.989,182,105,77,0.576923,2026-05-10,117.989,29
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,niederschatten,Niederschatten,niederschatten,Niederschatten,,1617.328,710,398,312,0.560563,2026-05-10,117.328,127
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,saculsueahtam,SaculSueahtam,saculsueahtam,SaculSueahtam,,1617.048,468,241,227,0.514957,2026-05-10,117.048,90
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,jwaves,jwaves,jwaves,jwaves,,1615.408,372,224,148,0.602151,2025-08-02,115.408,56
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,ict95,ICT95,ict95,ICT95,,1614.242,167,92,75,0.550898,2025-08-31,114.242,28
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,brivenix,Brivenix,brivenix,Brivenix,,1614.238,493,280,213,0.567951,2025-09-27,114.238,78
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,banduz,Banduz,banduz,Banduz,,1614.022,69,44,25,0.637681,2025-11-15,114.022,10
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,bernastorres,BERNASTORRES,bernastorres,BERNASTORRES,,1613.305,429,212,217,0.494172,2026-05-10,113.305,81
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,mikibairon96,Mikibairon96,mikibairon96,Mikibairon96,,1613.26,90,53,37,0.588889,2026-05-10,113.26,14
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,nicknorman,NickNorman,nicknorman,NickNorman,,1613.174,1054,548,506,0.519924,2026-05-10,113.174,178
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,mistertwin,MisterTwin,mistertwin,MisterTwin,,1611.083,1119,571,548,0.510277,2026-05-10,111.083,205
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,carvs,carvs,carvs,carvs,,1611.039,631,348,283,0.551506,2026-05-10,111.039,102
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,exelis,eXeliS,exelis,eXeliS,,1610.749,79,41,38,0.518987,2026-05-10,110.749,12
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,pnascimento,PNascimento,pnascimento,PNascimento,,1610.253,1134,599,535,0.528219,2026-05-10,110.253,188
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,paulocabral_br,PauloCabral_Br,paulocabral_br,PauloCabral_Br,,1609.813,383,195,188,0.509138,2024-08-25,109.813,63
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,muril0ambra,Muril0Ambra,muril0ambra,Muril0Ambra,,1607.819,44,30,14,0.681818,2026-03-08,107.819,6
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,foresterf,Foresterf,foresterf,Foresterf,,1607.355,276,165,111,0.597826,2025-01-18,107.355,43
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,maccaciock,Maccaciock,maccaciock,Maccaciock,,1607.289,267,144,123,0.539326,2026-02-07,107.289,40
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,emogoblin,Emogoblin,emogoblin,Emogoblin,,1606.238,65,37,28,0.569231,2026-04-30,106.238,10
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,boom_bust,boom_bust,boom_bust,boom_bust,,1605.814,1014,566,448,0.558185,2026-05-08,105.814,158
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,aswerty,asWerty,aswerty,asWerty,,1605.141,68,41,27,0.602941,2026-05-10,105.141,10
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,__noob__,__Noob__,__noob__,__Noob__,,1604.758,1178,680,498,0.57725,2026-05-10,104.758,208
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,luffydochapeudepalha,LuffyDoChapeuDePalha,luffydochapeudepalha,LuffyDoChapeuDePalha,,1604.599,2439,1499,940,0.614596,2026-05-10,104.599,360
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,hjc,hjc,hjc,hjc,,1603.519,55,36,19,0.654545,2025-12-25,103.519,8
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,denisevichalexey,DenisevichAlexey,denisevichalexey,DenisevichAlexey,,1602.936,150,96,54,0.64,2024-08-24,102.936,25
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,ziofrancone,ziofrancone,ziofrancone,ziofrancone,,1602.464,542,319,223,0.588561,2026-05-03,102.464,91
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,kampo,Kampo,kampo,Kampo,,1602.282,635,366,269,0.576378,2026-03-28,102.282,113
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,a_adeptoterra,A_AdeptoTerra,a_adeptoterra,A_AdeptoTerra,,1600.365,434,238,196,0.548387,2026-05-10,100.365,78
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,tamakihunter,TamakiHunter,tamakihunter,TamakiHunter,,1599.974,28,20,8,0.714286,2025-08-16,99.974,4
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,discovern,discoverN,discovern,discoverN,,1599.966,1245,803,442,0.64498,2026-05-10,99.966,192
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,vini_torres,vini_torres,vini_torres,vini_torres,,1599.854,555,284,271,0.511712,2026-05-10,99.854,93
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,brvnx,Brvnx,brvnx,Brvnx,,1599.043,232,131,101,0.564655,2026-05-02,99.043,37
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,vingadormtg,VingadorMTG,vingadormtg,VingadorMTG,,1598.802,131,72,59,0.549618,2025-03-29,98.802,21
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,franbenitez91,FranBenitez91,franbenitez91,FranBenitez91,,1598.802,62,37,25,0.596774,2026-02-22,98.802,11
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,crilapeoty,CrilaPeoty,crilapeoty,CrilaPeoty,,1597.876,63,40,23,0.634921,2026-02-14,97.876,9
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,kikis,Kikis,kikis,Kikis,,1595.339,137,83,54,0.605839,2026-05-10,95.339,21
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,gybird,gybird,gybird,gybird,,1594.864,76,47,29,0.618421,2024-07-06,94.864,11
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,zaaaamu,ZAAAAMU,zaaaamu,ZAAAAMU,,1593.856,125,73,52,0.584,2026-04-03,93.856,18
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,sknerusmckwacz,SknerusMcKwacz,sknerusmckwacz,SknerusMcKwacz,,1593.68,55,35,20,0.636364,2026-03-20,93.68,8
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,roter_erzengel,roter_Erzengel,roter_erzengel,roter_Erzengel,,1593.388,221,109,112,0.493213,2026-05-10,93.388,42
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,_blaze66,_blaze66,_blaze66,_blaze66,,1593.381,873,462,411,0.52921,2026-05-10,93.381,139
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,rooney56,Rooney56,rooney56,Rooney56,,1593.105,56,35,21,0.625,2025-01-05,93.105,9
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,heisen01,Heisen01,heisen01,Heisen01,,1593.063,339,181,158,0.533923,2026-05-01,93.063,58
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,g-monteiro,G-Monteiro,g-monteiro,G-Monteiro,,1592.553,145,79,66,0.544828,2026-05-10,92.553,23
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,xx420blazeitxx,Xx420blazeitxX,xx420blazeitxx,Xx420blazeitxX,,1590.759,65,42,23,0.646154,2025-12-28,90.759,9
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,juaki,JuaKi,juaki,JuaKi,,1590.113,242,119,123,0.491736,2025-10-17,90.113,41
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,atmagic,ATmagic,atmagic,ATmagic,,1589.315,21,15,6,0.714286,2026-02-28,89.315,3
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,condescend,Condescend,condescend,Condescend,,1588.795,21,16,5,0.761905,2024-10-27,88.795,3
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,mogged,Mogged,mogged,Mogged,,1587.984,488,274,214,0.561475,2026-02-14,87.984,76
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,totemsilence,totemsilence,totemsilence,totemsilence,,1587.57,255,149,106,0.584314,2026-01-03,87.57,41
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,beicodegeia,Beicodegeia,beicodegeia,Beicodegeia,,1587.363,1646,957,689,0.581409,2026-05-10,87.363,257
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,adryannthehero04,AdryannTheHero04,adryannthehero04,AdryannTheHero04,,1586.355,154,84,70,0.545455,2026-05-03,86.355,24
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,cicciogire,cicciogire,cicciogire,cicciogire,,1585.442,414,205,209,0.495169,2026-05-10,85.442,89
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,bugsy69,Bugsy69,bugsy69,Bugsy69,,1584.43,127,65,62,0.511811,2026-04-09,84.43,29
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,datapusher,Datapusher,datapusher,Datapusher,,1584.313,70,39,31,0.557143,2026-05-10,84.313,11
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,mikhathara1994,Mikhathara1994,mikhathara1994,Mikhathara1994,,1583.967,388,210,178,0.541237,2026-04-18,83.967,64
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,hughc,HughC,hughc,HughC,,1583.167,89,48,41,0.539326,2025-12-28,83.167,13
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,db_sodeq,DB_Sodeq,db_sodeq,DB_Sodeq,,1582.563,43,28,15,0.651163,2025-12-07,82.563,6
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,yuxiaoyu,yuxiaoyu,yuxiaoyu,yuxiaoyu,,1582.562,415,236,179,0.568675,2026-05-10,82.562,65
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,graciasportanto,Graciasportanto,graciasportanto,Graciasportanto,,1582.441,60,38,22,0.633333,2024-05-24,82.441,9
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,cheers,Cheers,cheers,Cheers,,1581.84,21,15,6,0.714286,2025-10-26,81.84,3
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,bong0411,Bong0411,bong0411,Bong0411,,1581.004,356,186,170,0.522472,2026-03-13,81.004,60
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,ramelao,Ramelao,ramelao,Ramelao,,1580.749,115,61,54,0.530435,2024-08-11,80.749,19
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,daifuku,daifuku,daifuku,daifuku,,1580.131,75,42,33,0.56,2026-05-01,80.131,11
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,macksmith,MackSmith,macksmith,MackSmith,,1579.194,59,36,23,0.610169,2025-08-02,79.194,11
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,maat33,maat33,maat33,maat33,,1578.607,33,21,12,0.636364,2024-11-24,78.607,5
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,sebastianpozzo,sebastianpozzo,sebastianpozzo,sebastianpozzo,,1578.486,168,95,73,0.565476,2026-02-19,78.486,27
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,shikixyz,ShikiXYZ,shikixyz,ShikiXYZ,,1578.176,30,20,10,0.666667,2026-05-10,78.176,4
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,digdude13,digdude13,digdude13,digdude13,,1578.053,37,23,14,0.621622,2025-12-28,78.053,6
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,tsubasa_cat,Tsubasa_Cat,tsubasa_cat,Tsubasa_Cat,,1577.89,238,134,104,0.563025,2026-05-10,77.89,46
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,pinolo_cosmico,Pinolo_Cosmico,pinolo_cosmico,Pinolo_Cosmico,,1577.856,93,54,39,0.580645,2026-02-26,77.856,15
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,cam_13,CAM_13,cam_13,CAM_13,,1577.804,136,72,64,0.529412,2026-05-10,77.804,22
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,chris-mtg-02,CHRIS-Mtg-02,chris-mtg-02,CHRIS-Mtg-02,,1577.347,88,45,43,0.511364,2026-03-28,77.347,15
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,viashinoperuano,viashinoperuano,viashinoperuano,viashinoperuano,,1577.329,582,307,275,0.527491,2026-05-10,77.329,105
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,brukidm,brukidm,brukidm,brukidm,,1577.289,25,17,8,0.68,2025-05-31,77.289,4
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,chaoticmtg,ChaoticMTG,chaoticmtg,ChaoticMTG,,1576.946,285,145,140,0.508772,2026-05-10,76.946,51
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,dr. jon osterman,Dr. Jon Osterman,dr. jon osterman,Dr. Jon Osterman,,1576.733,148,76,72,0.513514,2026-04-10,76.733,32
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,othavirium,othavirium,othavirium,othavirium,,1576.163,138,76,62,0.550725,2025-07-12,76.163,24
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,franzisco23195,Franzisco23195,franzisco23195,Franzisco23195,,1575.741,99,51,48,0.515152,2026-03-27,75.741,19
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,lucaashok,LucaAshok,lucaashok,LucaAshok,,1575.658,52,33,19,0.634615,2026-04-09,75.658,8
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,liv_one,Liv_One,liv_one,Liv_One,,1575.317,63,38,25,0.603175,2024-07-06,75.317,9
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,pr0boszcz,PR0boszcz,pr0boszcz,PR0boszcz,,1575.148,145,85,60,0.586207,2026-05-10,75.148,25
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,o_danielakos,O_danielakos,o_danielakos,O_danielakos,,1574.127,704,377,327,0.535511,2026-03-26,74.127,123
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,fermtg,FerMTG,fermtg,FerMTG,,1574.087,273,142,131,0.520147,2026-05-10,74.087,54
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,fazparte,fazparte,fazparte,fazparte,,1573.843,168,80,88,0.47619,2026-05-08,73.843,27
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,thxrhys,THXrhys,thxrhys,THXrhys,,1570.868,43,26,17,0.604651,2025-07-12,70.868,6
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,jpsn54,Jpsn54,jpsn54,Jpsn54,,1570.856,57,34,23,0.596491,2025-06-07,70.856,9
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,shulk,Shulk,shulk,Shulk,,1570.793,31,20,11,0.645161,2025-08-17,70.793,5
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,ivernop,IvernOP,ivernop,IvernOP,,1570.738,711,387,324,0.544304,2026-03-22,70.738,122
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,xxsystemxx,xxSystemxx,xxsystemxx,xxSystemxx,,1570.654,136,82,54,0.602941,2025-12-13,70.654,27
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,likeaferro,LikeAFerro,likeaferro,LikeAFerro,,1570.264,363,187,176,0.515152,2026-02-22,70.264,65
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,thediabetical,thediabetical,thediabetical,thediabetical,,1569.927,48,27,21,0.5625,2026-03-27,69.927,8
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,olati,olati,olati,olati,,1569.565,44,27,17,0.613636,2026-05-08,69.565,7
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,beniscool53,beniscool53,beniscool53,beniscool53,,1567.885,21,14,7,0.666667,2026-02-22,67.885,3
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,giuxgobbo,GiuxGobbo,giuxgobbo,GiuxGobbo,,1567.822,49,30,19,0.612245,2025-12-28,67.822,7
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,gilbertoantunes,GilbertoAntunes,gilbertoantunes,GilbertoAntunes,,1567.782,84,46,38,0.547619,2026-03-15,67.782,18
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,alessandropiraccini,AlessandroPiraccini,alessandropiraccini,AlessandroPiraccini,,1567.213,490,270,220,0.55102,2026-05-10,67.213,98
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,saycheese_336,SayCheese_336,saycheese_336,SayCheese_336,,1567.022,28,18,10,0.642857,2025-12-13,67.022,4
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,elfu,Elfu,elfu,Elfu,,1566.985,25,17,8,0.68,2026-02-22,66.985,4
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,borbs,Borbs,borbs,Borbs,,1566.907,135,73,62,0.540741,2026-04-05,66.907,24
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,windup_emma,Windup_Emma,windup_emma,Windup_Emma,,1566.454,47,29,18,0.617021,2024-04-21,66.454,7
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,albana,albana,albana,albana,,1566.257,22,15,7,0.681818,2024-07-06,66.257,3
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,heliolima,HelioLima,heliolima,HelioLima,,1566.191,322,152,170,0.47205,2026-04-05,66.191,59
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,albreto,Albreto,albreto,Albreto,,1566.034,31,19,12,0.612903,2026-05-10,66.034,5
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,fake_caetano,Fake_Caetano,fake_caetano,Fake_Caetano,,1565.814,70,38,32,0.542857,2026-04-05,65.814,11
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,al_bertor,Al_bertoR,al_bertor,Al_bertoR,,1565.719,215,110,105,0.511628,2026-05-02,65.719,34
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,pedrastone,PedraStone,pedrastone,PedraStone,,1565.174,1262,689,573,0.545959,2026-05-10,65.174,197
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,oceansoul92,Oceansoul92,oceansoul92,Oceansoul92,,1565.074,406,208,198,0.512315,2026-05-01,65.074,82
